cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2017,6744057,6254140,1107570,1194282,7336280,168389,5613793,0,5412082,5495099,6109693,0,614594,0,614594,36
27987,2017,0,13636,0,13590,140993,0,-129878,0,0,0,0,0,0,0,0,0
67248,2017,100,3261044,0,3259044,944326,64000,2252818,0,0,0,0,0,0,0,0,0
75895,2017,8438,46569,0,76,3340,0,51667,0,158365,158365,138268,20097,0,18514,0,1
89017,2017,162970,237361,130611,14330,576858,0,-176527,0,297200,297208,301238,0,4030,0,7002,4
93573,2017,0,19157,10791,831,13770,0,5387,0,0,0,0,0,0,0,0,0
128760,2017,834207,3386823,624677,273036,246981,0,3981946,0,10756496,10831274,9559609,1271665,0,1073730,0,0
136720,2017,801384,3898436,3461414,287853,327029,0,4372791,0,13531519,13531672,11902108,1629564,0,1349362,0,17
140047,2017,2112,66576,0,480,3246,0,65442,0,8166,9766,16824,0,7058,0,7351,0
156051,2017,39668,103614,99593,3299,52619,0,90663,0,39323,39479,64577,0,25098,0,26278,1
201322,2017,6455440,4145715,64357,2892992,1682611,161534,8804989,0,19887252,20494917,18619246,1875671,0,1553914,0,153
201730,2017,1215644,4973749,2889835,1224021,678264,0,5486152,0,8329006,8822987,7835214,987773,0,893913,0,35
210436,2017,136613,172384,63976,101693,774625,0,-465628,0,805103,805104,677317,127787,0,120433,0,10
226270,2017,0,0,0,0,23224,0,-23224,0,0,0,0,0,0,0,0,0
253780,2017,0,18035,12554,5250,315292,0,-297257,0,33897,33945,45182,0,11237,0,12255,1
341415,2017,72396,132541,52091,68658,116051,0,88886,0,1322566,1322566,1185172,137394,0,124840,0,5
359315,2017,8041042,1484092,336298,920225,5114828,0,4410306,0,10884758,10904573,8234384,2670189,0,2296773,0,49
368356,2017,35133724,5025467,762127,3865387,34550356,1886798,3722037,0,30814480,35658446,35506266,152180,0,152180,0,148
370704,2017,485522,16082,0,9248,209008,0,292596,0,0,3339,45055,0,41716,0,41716,0
398284,2017,117325790,39024831,1175013,24917669,41144174,1891157,114361624,0,68965872,82205177,78434004,3771173,0,2586860,0,250
482120,2017,32841396,9125651,3011348,5836688,2326753,0,37969164,0,34619143,35521718,36017653,0,495935,0,495935,120
518704,2017,56080,10630,0,5478,92525,0,-25815,0,4306,4306,14210,0,9904,0,10033,0
520690,2017,797978,2398267,476463,1896269,1930450,0,1265795,0,5560710,4935336,4925384,9952,0,9952,0,16
529584,2017,522,25021,16853,0,189510,0,-163967,0,50754,50754,32828,17926,0,16404,0,1
558830,2017,181299,263296,10052,240718,374555,0,77140,0,547273,549498,542356,7142,0,1655,0,3
563934,2017,805120,2445229,43297,997207,123678,30820,3139503,0,871134,902601,1295586,0,392985,0,392985,24
607615,2017,3463729,955276,507133,447206,2243479,0,1839321,0,1008200,2034009,1764536,269473,0,257601,0,14
608394,2017,884913,2262074,1379934,762768,2965560,0,181427,0,3076353,3652763,3190630,462133,0,461367,0,27
642388,2017,513429,1170876,754289,416579,2300749,0,-616444,0,9670,80547,80241,306,0,141,0,2
643260,2017,3726603,4764069,2106499,2552926,962273,0,7362913,0,14638895,15331127,13887559,1443568,0,1177068,0,35
678268,2017,7541531,18087836,994908,16929985,999967,0,24658455,0,12683300,12865144,11012803,1852341,0,1526635,0,30
678489,2017,58793,92123,77189,8932,278689,0,-127773,0,204254,218700,249773,0,31073,0,33152,2
686520,2017,1736106,820920,202902,614190,1588392,0,522564,0,8509250,8594216,8362532,231684,0,209645,0,14
715862,2017,0,443274,0,443150,30,0,443244,0,0,0,6684,0,6684,0,6684,0
742131,2017,561404,1797871,468830,366131,576865,0,1782410,0,2757607,2765382,1808035,957347,0,906910,0,10
743196,2017,5621,34480,8691,18798,6112,0,33989,0,623457,626997,587253,39744,0,33598,0,3
746540,2017,61057,327423,142510,96991,626537,0,-238057,0,1282307,1283272,1292092,0,8820,0,21232,7
784579,2017,294451,360013,329506,950,291440,0,363024,0,817724,817724,701115,116609,0,108754,0,0
790309,2017,1961582,594232,131115,307122,317232,0,2241885,0,2211823,2285648,1151894,1133754,0,1098470,0,9
790465,2017,1186073,701918,329430,302391,665790,0,1225737,0,1640537,1816020,1099911,716109,0,698352,0,7
809096,2017,281198,416878,239,318496,459341,2000,236735,0,191681,207611,232843,0,25232,0,25232,0
830411,2017,1216527,660191,615594,30596,13294,0,1863424,0,135601,135628,267587,0,131959,0,133339,2
844646,2017,187042,477188,136720,156444,126879,0,538145,0,4528500,4592879,3994609,598270,0,535853,0,8
858234,2017,1064343,264013,73863,85494,168120,0,1086986,0,894810,894849,808687,86162,0,77736,0,0
916165,2017,292178,682623,495014,97798,458347,0,516454,0,1672839,1672876,1346637,326239,0,310359,0,6
921650,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946778,2017,22725112,15680837,5159943,10032635,27199891,0,11206058,0,43562680,49944584,48976098,968486,0,966510,0,326
947943,2017,3705403,4249545,1010282,3086829,770676,367173,6813146,0,39362401,39422305,38532073,890232,0,890232,0,48
954592,2017,131979,123159,0,116685,23021,0,232955,0,104838,104838,112119,0,7281,0,8329,2
1056328,2017,130389,367769,48149,16148,488244,0,9914,0,184704,211504,277744,0,66240,0,68355,4
1059693,2017,88598,10455807,0,10449980,18191514,0,-7647109,0,0,197984,7761240,0,7563256,0,7563256,0
1062907,2017,0,59420,0,55627,74461,0,-26411,0,0,0,0,0,0,0,0,0
1074553,2017,116603,1382656,8407,409506,229642,100000,1256186,0,2071641,2160087,1683790,476297,0,403198,0,35
1076163,2017,1351962,656203,103442,533080,849766,0,1158399,0,1662662,1672002,1629012,42990,0,27060,0,20
1088125,2017,41779444,65977319,30510747,16822160,44668352,449294,62907021,0,256918679,263169512,252460994,10708518,0,9109249,0,222
1095130,2017,24672540,32304592,1630044,28202356,32699609,83920,25000668,0,48000858,51431454,50022629,1408825,0,996008,0,544
1098285,2017,288311,373423,354642,17526,144673,0,517061,0,123162,126312,177633,0,51321,0,52168,3
1100466,2017,4544400,5636584,329858,5276711,1919593,0,7987179,0,8076419,10350778,10301516,49262,0,34082,0,70
1152830,2017,202189,38401,16084,22102,56426,0,184164,0,0,9000,33089,0,24089,0,24179,1
1155810,2017,254368,719830,516353,182383,886654,0,87544,0,1404336,1496830,1317850,178980,0,164937,0,8
1198470,2017,245980,2583884,2376070,46693,202777,0,2629748,0,2391446,2393591,1814949,578642,0,549015,0,14
1206832,2017,1099910,976532,74106,516970,483688,0,1612981,0,3475443,3484291,3281993,202298,0,154689,0,0
1216658,2017,6153317,1972476,661677,1230400,323804,27524,7800015,0,20001414,20190652,19339264,851388,0,851388,0,24
1217564,2017,0,4797,647,0,60640,0,-55843,0,49891,49891,23879,26012,0,24526,0,1
1279273,2017,140026,631248,25571,373665,383332,0,387942,0,662347,662347,522463,139884,0,133425,0,2
1284954,2017,131931,8292,3444,4187,131537,0,8686,0,15900,15900,21366,0,5466,0,5943,0
1289994,2017,1355025,1598983,919346,307080,874703,0,2079514,0,47182,131255,73779,57476,0,53552,0,0
1326707,2017,31860,436032,429261,3666,413118,0,54774,0,212421,212255,167159,45096,0,42972,0,4
1351883,2017,557406,1236404,75232,732977,617176,0,1177879,0,2275272,2275850,2464654,0,188804,0,188804,5
1354685,2017,563032,104993,12635,86054,119174,0,550279,0,710354,698328,794530,0,96202,0,104832,17
1356619,2017,4801526,15716756,9621719,5716027,12983207,67620,7455811,0,71630091,72018660,69397755,2620905,0,2258422,0,58
1444869,2017,568701,12381750,1667242,10057723,528441,0,12420758,0,34681183,35377721,33694570,1683151,0,1410215,0,31
1458627,2017,196869,556240,9913,461053,288179,0,472512,0,980622,984749,1012963,0,28214,0,28214,18
1460473,2017,583370,466724,45694,43042,24258,0,559182,0,257127,417748,267115,150633,0,146915,0,6
1473503,2017,9236703,3968152,2328299,1548425,9473908,0,3735625,0,14882345,16558331,17870549,0,1312218,0,1312218,61
1477912,2017,18103,273399,49477,27300,36769,0,254733,0,205310,215192,198071,17121,0,14969,0,5
1486694,2017,0,51908,43408,3882,472492,0,-420584,0,103493,103493,112625,0,9132,0,12250,1
1509216,2017,21302,118576,113434,3222,298802,0,-158924,0,67294,67294,75229,0,7935,0,8608,1
1530935,2017,1744974,1333882,160552,972312,1892597,0,898860,0,4041826,3877923,2805549,1072374,0,897660,0,12
1538378,2017,339783,3767251,2175717,1066326,1636276,0,2470758,0,6098677,6098677,5934309,164368,0,164368,0,13
1539055,2017,774,1223,0,1223,4129,0,-2132,0,0,0,0,0,0,0,0,0
1558367,2017,1510991,1854976,45053,894968,82123,0,3283844,0,2326210,2365659,2363421,2238,0,1376,0,12
1604617,2017,646772,525365,486,518982,167067,0,1005070,0,617944,617944,558263,59681,0,45896,0,19
1606073,2017,63136066,121339,0,73239,25296466,0,37960939,0,0,385912,1575209,0,1189297,0,1189297,0
1608147,2017,0,987598,97093,824051,1048801,0,-61203,0,0,0,0,0,0,0,0,0
1630420,2017,1568545,21303350,0,20143711,23172361,0,-300466,0,16996,761780,3405169,0,2643389,0,2643389,0
1649309,2017,247451,1484451,886257,579940,1023205,0,708697,0,1538652,1551086,911366,639720,0,624588,0,5
1689176,2017,45682139,55930150,46708049,8947443,95193876,0,6528377,0,147164576,151830697,148897515,2933182,0,2148277,0,169
1755172,2017,3159454,1078608,748084,241145,862437,0,3141107,0,7884126,7899811,7002308,897503,0,838032,0,21
1783202,2017,7604,31103,27508,1152,254209,0,-215502,0,135976,273287,294039,0,20752,0,26637,3
1818041,2017,10925969,4258516,1917217,451703,2270669,0,12916679,0,13760309,13784419,13102612,681807,0,563993,0,25
1872253,2017,1289454,1920105,176907,91628,601022,0,2608618,0,3250926,4742254,4401930,340324,0,281355,0,7
1904533,2017,904760,475071,46389,52648,46467,0,1336179,0,1429761,1430512,1255359,175153,0,161069,0,12
1921143,2017,4287,164441,1966,140215,58954,0,109774,0,0,0,1571,0,1571,0,1571,1
1921852,2017,18563448,56450522,30300324,20520088,34932893,0,40512015,0,304237408,306395469,296868962,9526507,0,8124319,0,108
1951756,2017,158639,1104471,90690,1008565,658047,0,605063,0,69710,93642,223463,0,129821,0,129821,4
1968952,2017,101367,1811983,137471,1282381,241732,0,1681618,0,1142968,1308875,1027508,281367,0,268795,0,0
1977144,2017,8611244,84436587,25196487,2763301,82234995,0,11174824,0,81636,6022032,3352286,2669746,0,2669746,0,0
2039643,2017,1209846,957920,34426,878317,2130019,0,37747,0,2329507,2987285,2795172,192113,0,192113,0,14
2073289,2017,4858994,794707,56064,697946,774010,0,4879691,0,57752,57752,158309,0,100557,0,100557,0
2147025,2017,656,47425,0,47425,102765,0,-54684,0,0,0,0,0,0,0,0,0
2152471,2017,47127,315339,978,257481,293145,0,69321,0,1369473,1370279,505191,865088,0,851614,0,10
2155648,2017,158442,12872577,3186575,9216346,23007820,0,-9972631,0,45763884,45874463,46670322,0,795859,0,795859,89
2162947,2017,7523,146674,13508,132007,36145,0,118052,0,143284,143285,77797,65488,0,61189,0,0
2164956,2017,3016,204190,287,41447,62146,0,145290,0,173425,173425,125672,47753,0,46019,0,3
2192298,2017,257642,946150,779161,137712,127568,0,1079319,0,1855436,2055381,1990268,65113,0,65113,0,12
2203176,2017,352699,286647,4230,128076,46615,0,592731,0,257325,465266,324155,141111,0,136455,0,2
2204775,2017,7234099,5017921,1194037,1691697,2313181,0,6708359,0,16867823,19404772,16010986,3393786,0,2912565,0,62
2209330,2017,4672547,4118104,984739,1240117,2926658,0,5863993,0,7298068,6919833,6465082,454751,0,393328,0,23
2267862,2017,1676127,1575944,221372,725816,1242534,0,2009537,0,1547265,1653417,1574591,78826,0,69670,0,14
2268035,2017,1143386,286085,0,6212,34853,0,1394618,0,77417,525748,328101,197647,0,197647,0,2
2307614,2017,0,7079,0,6996,18370,0,-11291,0,0,0,0,0,0,0,0,0
2367438,2017,5127720,396355,35438,327168,25965,0,5498110,0,0,576665,226225,350440,0,344821,0,1
2373472,2017,3529039,1632879,877499,526313,2485243,0,2685783,0,12192376,11505921,11423490,82431,0,48751,0,30
2414378,2017,1804252,1420608,1270887,79414,1484252,0,1740608,0,4325749,4328681,4132110,196571,0,168276,0,28
2416590,2017,849523,2229883,56742,1290699,374379,0,2714556,0,6467637,6506166,4636449,1869717,0,1588454,0,134
2479229,2017,3870789,1480526,420,1459501,3482602,0,1868713,0,3076124,3306004,3143661,162343,0,136113,0,45
