cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2021,4803618,8234167,801853,4731300,7964798,973494,4155564,0,10399369,10496918,6796740,3700178,0,3207149,0,27
27987,2021,0,13547,0,13501,140993,0,-129967,0,0,0,0,0,0,0,0,0
75895,2021,11438,31153,0,299,-147,0,42738,0,0,0,461,0,461,0,461,0
89017,2021,231530,375493,161675,40708,507660,0,99363,0,1377427,1377428,1218511,158917,0,148093,0,2
128760,2021,623395,4071213,857163,562889,242508,0,4456472,0,13144466,13310841,11121735,2189106,0,1838319,0,32
136720,2021,1438118,6022119,3467688,642256,695010,0,6765227,0,31263787,31286867,25696764,5590103,0,4785115,0,21
140047,2021,212659,200308,116091,54679,347235,0,65732,0,41180,41180,69318,0,28138,0,29349,0
156051,2021,49037,70865,64314,0,1804,0,118098,0,45755,45845,42514,3331,0,1958,0,0
201322,2021,10588483,17849414,0,5001506,3981376,346784,24185163,0,41799843,42887518,34454990,8432528,0,7218264,0,142
201730,2021,904789,7657074,3094973,961318,1506520,0,7055343,0,8736663,9310195,7703357,1606838,0,1370118,0,37
210436,2021,96668,608434,351256,10421,68940,0,636162,0,1952768,1955325,1457641,497684,0,480477,0,10
253780,2021,0,16196,3989,10698,289317,0,-273121,0,13808,25072,47051,0,21979,0,22015,1
341415,2021,28938,317989,0,307636,288988,0,57939,0,117967,134606,108474,26132,0,22094,0,1
359315,2021,6429613,859051,154760,615426,2853729,0,4472052,0,6001346,6904527,6021645,882882,0,773752,0,43
368356,2021,14001905,7522541,604077,5584400,43235911,1584298,-23295763,0,353218,7173998,18357968,0,11183970,0,11183970,0
370704,2021,431319,15766,0,11540,354668,0,92417,0,0,934,51697,0,50763,0,50763,0
398284,2021,110656208,77631711,4671969,47634566,35945830,26576583,127638268,0,106902030,128575998,109794874,18781124,0,15662608,0,248
482120,2021,68162507,13114637,1018703,11845029,4113054,0,76353922,0,24701062,25743234,25451442,291792,0,291792,0,49
518704,2021,49532,9084,0,4918,106489,0,-47873,0,0,0,14461,0,14461,0,14461,0
520690,2021,613088,1524370,126194,603490,427971,0,1709487,0,5854245,5857900,5422138,435762,0,370871,0,11
529584,2021,40629,48213,18493,17208,141055,0,-52213,0,69632,119632,53848,65784,0,62571,0,0
558830,2021,190113,468338,32647,98387,218264,0,440187,0,721808,722636,523263,199373,0,192151,0,4
563934,2021,2293394,1432733,129263,1270775,2295810,0,1750911,0,8385117,8516532,8904404,0,387872,0,387872,70
608394,2021,1485723,1088696,948842,47496,1327441,0,1255802,0,5046616,5109458,5002589,106869,0,90502,0,28
642388,2021,235543,639455,431558,200298,2792952,0,-1917954,0,880341,936097,839498,96599,0,87422,0,4
643260,2021,4464496,9987916,1645135,8214535,2063874,0,12460326,0,28024721,28048815,24118541,3930274,0,3376488,0,46
678268,2021,7598584,23289592,3434485,19608631,785518,0,30191274,0,21356666,21528026,17815723,3712303,0,3188301,0,28
678489,2021,53882,181772,110752,51656,352236,0,-116582,0,311610,311611,297703,13908,0,10798,0,1
686520,2021,1844680,2872575,468789,2158681,1624837,0,2609106,0,18129924,18456418,17204985,1251433,0,1103636,0,8
742131,2021,1781666,2732286,371048,271999,283320,0,4230632,0,3300172,3350045,2334542,1015503,0,985253,0,9
743196,2021,3749,207074,1413,604,32856,0,177967,0,614015,614015,430422,183593,0,177576,0,2
746540,2021,37085,478658,109444,231360,250527,0,265216,0,2675124,2674401,2243346,431055,0,404838,0,7
784579,2021,301,383671,20464,4,210004,0,173968,0,229603,330164,276994,53170,0,47816,0,0
790309,2021,1571452,2310906,509938,670327,143996,0,3741036,0,3390293,3559301,1968700,1590601,0,1559822,0,14
790465,2021,1209366,4087896,470652,2800493,435882,0,4864856,0,4498416,4499731,2311518,2188213,0,2145225,0,5
809096,2021,218896,25005,0,11905,321706,2000,-79805,0,0,0,16264,0,16264,0,16264,0
830411,2021,898535,418363,363918,10308,132350,0,1185824,0,1173268,1204497,1175237,29260,0,20404,0,8
844646,2021,810527,1750639,534244,765608,217036,0,2344130,0,17940636,17967681,16112708,1854973,0,1606584,0,11
858234,2021,967465,498713,223907,153161,143426,0,1358127,0,1057230,1087058,939799,147259,0,136433,0,3
916165,2021,28899,952991,915181,14745,246958,0,734932,0,710312,787413,618184,169229,0,161946,0,3
921650,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946778,2021,44873300,32382579,5548047,25808339,38578416,0,38724371,0,90421961,92347558,81821237,10526321,0,10484906,0,541
