cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2018,6685588,9824581,676028,1221649,5999585,939091,9585250,0,14175684,14399171,9766738,4632433,0,3971457,0,43
27987,2018,0,13547,0,13501,140993,0,-129967,0,0,0,89,0,89,0,89,0
89017,2018,83716,320429,100905,107355,553300,0,-149155,0,483843,483851,451637,32214,0,27372,0,2
128760,2018,760428,3493156,905507,262874,269641,0,3991887,0,13047289,13163474,11878040,1285434,0,1083671,0,32
136720,2018,1081968,5621128,3114641,347969,349176,0,6353920,0,16957505,16979807,14604441,2375366,0,1981129,0,20
140047,2018,130825,141260,0,0,1530,0,270555,0,345208,345267,136313,208954,0,205113,0,1
156051,2018,39668,108040,90954,0,45859,0,101849,0,40025,40025,27636,12389,0,11187,0,0
201322,2018,8829480,3688126,98558,3195169,4033491,132539,8412089,0,21667042,22365488,20246735,2118753,0,1749910,0,148
201730,2018,1268785,4826053,3332826,1243928,650777,0,5424960,0,7784177,7813074,7345743,467331,0,389808,0,37
210436,2018,124851,132817,118686,5768,497016,0,-239348,0,1183456,1191421,953307,238114,0,226280,0,10
226270,2018,0,0,0,0,23224,0,-23224,0,0,0,0,0,0,0,0,0
253780,2018,0,15770,12584,2950,334117,0,-318347,0,32013,32013,52143,0,20130,0,21090,1
341415,2018,128538,245491,22104,212471,270368,0,103661,0,1017492,1017493,992543,24950,0,14776,0,6
359315,2018,7513856,1304360,413303,828411,4620814,0,4197402,0,8114778,8193631,7069792,1123839,0,939099,0,50
368356,2018,34733003,4465179,1097073,2867933,41514250,1584298,-3900366,0,18924285,20493374,28115777,0,7622403,0,7622403,44
370704,2018,471735,35036,0,10864,260633,0,246138,0,0,2636,49094,0,46458,0,46458,0
398284,2018,101894121,74843545,21235072,46288027,57284287,4141955,118534430,0,62579762,78156158,68275674,9880484,0,9197584,0,240
482120,2018,69702903,10668513,3122788,7305836,2549349,0,76432372,0,35928315,37051838,37014441,37397,0,37397,0,107
520690,2018,720915,979958,91474,842883,418573,0,1282300,0,2676546,2615442,2598936,16506,0,16506,0,14
529584,2018,4596,26303,16681,3146,178785,0,-147886,0,56379,56379,38607,17772,0,16081,0,0
558830,2018,166469,249415,28359,88151,219890,0,195994,0,466823,490670,366909,123761,0,118855,0,3
563934,2018,1113896,2241369,263711,839642,620938,30820,2770142,0,871416,925088,1291802,0,366714,0,369362,22
607615,2018,3328204,1174210,861724,311087,2216440,0,2061837,0,731094,2298797,2064347,234450,0,222516,0,12
608394,2018,1022706,1364166,1091342,250086,2326155,0,60717,0,2593917,3048120,2998606,49514,0,41565,0,25
642388,2018,0,197409,150541,40155,2362264,0,-2164855,0,85172,187172,185272,1900,0,1048,0,2
643260,2018,3708030,5245041,1176363,3975927,950152,0,8269451,0,17696504,17055984,16023035,1032949,0,906538,0,39
678268,2018,7310665,19321777,808065,18381271,738352,0,25923593,0,14723602,14748035,13236759,1511276,0,1265138,0,29
678489,2018,57791,124982,83485,27989,308675,0,-125902,0,282387,283333,278637,4696,0,1871,0,1
715862,2018,0,443244,0,443244,0,0,443244,0,0,0,0,0,0,0,0,0
742131,2018,1365543,1637552,586223,544169,298743,0,2704352,0,2678425,2697989,1749112,948877,0,921942,0,10
743196,2018,5153,56950,9845,732,5763,0,56340,0,527177,527177,476755,50422,0,45149,0,2
746540,2018,65590,445858,260301,113086,782664,0,-271216,0,831783,830977,855828,0,24851,0,33159,7
784579,2018,188698,343099,148687,66,366940,0,164857,0,805379,805379,995493,0,190114,0,198168,0
790309,2018,1805849,1137506,243643,547563,91118,0,2855862,0,2941020,3162405,1262325,1900080,0,1868651,0,10
790465,2018,983921,1717041,453748,135460,723689,0,1980062,0,1419267,2397878,1619639,778239,0,754261,0,6
809096,2018,224558,225033,0,178640,445243,2000,2348,0,13351,13490,247307,0,233817,0,234386,4
844646,2018,369417,538952,80012,273199,246235,0,662134,0,6398060,6418487,5726477,692010,0,620828,0,8
858234,2018,1056577,237355,106438,119031,166653,0,1073713,0,705087,713060,719203,0,6143,0,13273,0
916165,2018,158921,359477,149012,121088,291072,0,227326,0,1293038,1294449,1270630,23819,0,10872,0,5
946778,2018,21753342,15516759,4894122,10315798,24942083,0,12328018,0,45679929,46465194,45019740,1445454,0,1441961,0,324
947943,2018,3420475,3952030,1532247,2273729,698973,370888,6319528,0,39529910,39682006,39524978,157028,0,157028,0,48
954592,2018,34955,347887,38857,250813,53995,0,328847,0,214999,435099,335050,100049,0,95893,0,1
1056328,2018,125399,370873,48148,16130,509512,0,-13240,0,2160,6360,29450,0,23090,0,23154,1
1059693,2018,46829,10458962,0,10452620,18193551,0,-7687760,0,0,20581,61233,0,40652,0,40652,0
1074553,2018,575124,1066203,52322,530871,651638,100000,968326,0,1576084,1583403,1452230,131173,0,115338,0,0
1076163,2018,1326310,685647,81973,560349,615088,0,1396869,0,2705252,2729151,2462069,267082,0,239814,0,21
1088125,2018,51846473,72520042,26655375,18460938,66489271,455966,57721976,0,305047202,304332044,294093341,10238703,0,8764352,0,242
1095130,2018,24485283,32680497,1283470,28915355,33569748,4030,24424437,0,55382954,58810901,58167828,643073,0,444359,0,502
1098285,2018,172731,571956,366419,17228,33274,0,711413,0,37391,652166,120850,531316,0,524848,0,1
1100466,2018,4124405,4689341,389323,4224871,824267,0,7744037,0,7413567,7491139,7204543,286596,0,226858,0,62
1155810,2018,259417,576421,411769,101716,769371,0,66467,0,1435782,1475470,1482186,0,6716,0,21078,7
1198470,2018,214079,2539990,2111633,15720,94300,0,2662430,0,2093724,2184359,1623755,560604,0,538783,0,12
1206832,2018,1200757,583878,65111,324553,540348,0,1258032,0,2597382,2624406,2737624,0,113218,0,138130,22
1216658,2018,5928081,3186817,1567806,1535031,520647,28760,8593731,0,24549555,24563677,23822940,740737,0,740737,0,29
1217564,2018,0,8362,0,5270,41808,0,-33446,0,35830,35830,12358,23472,0,22397,0,0
1279273,2018,126096,544790,22414,393751,286744,0,384142,0,563238,563238,556142,7096,0,1463,0,2
1284954,2018,129060,10498,3444,6070,134917,0,4641,0,18942,18942,22419,0,3477,0,4045,0
1289994,2018,919371,1929559,919346,307084,878118,0,1971021,0,7186,350856,37270,313586,0,303060,0,0
1351883,2018,506426,2053956,126289,803457,797514,0,1764199,0,2798249,3414084,2816037,598047,0,588678,0,4
1354685,2018,531430,91958,12398,68117,174007,0,451178,0,512724,514116,608076,0,93960,0,99101,14
1356619,2018,7943621,13111667,6010419,6870515,11805700,37137,9177366,0,72343556,72455661,70443209,2012452,0,1721555,0,64
1444869,2018,1208250,12393215,3608413,6932160,502253,0,13110373,0,42543868,42628398,41799642,828756,0,689615,0,39
1458627,2018,270570,587822,15760,437464,280462,0,588452,0,1095925,1110032,1102961,7071,0,5940,0,17
1460473,2018,551280,506322,96208,48191,26389,0,601134,0,271783,308512,263842,44670,0,41952,0,5
1473503,2018,7909036,4243204,2354780,1784932,9336753,0,2823490,0,15411326,16416077,17293553,0,877476,0,877476,47
1477912,2018,26606,294338,29463,13580,9852,0,311092,0,256031,256038,197130,58908,0,56359,0,4
1486694,2018,0,56858,49445,5280,477866,0,-421008,0,147184,147184,143173,4011,0,0,424,1
