cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2013,4972384,7893158,0,2429945,4543437,594398,7735927,0,11789420,12547761,7170016,5377745,0,4495959,0,44
27987,2013,6418,22672,0,22537,150029,0,-122673,0,0,0,624,0,624,0,624,0
67248,2013,100,3261044,0,3259044,944326,64000,2252818,0,0,1784,1963,0,179,0,233,0
75895,2013,8438,54934,0,4968,2399,0,60973,0,82936,82938,84657,0,1719,0,4183,1
89017,2013,138626,109713,0,15050,328844,0,-80505,0,102752,102997,120971,0,17974,0,21017,4
93573,2013,10230,18873,0,831,18036,0,11067,0,0,0,0,0,0,0,0,0
128760,2013,1282696,1874664,0,136041,216018,0,2949222,0,12115103,12176812,12270880,0,94068,0,94068,32
136720,2013,989092,2176815,0,291833,495914,0,2669993,0,4794097,4908707,4898425,10282,0,6458,0,18
139441,2013,0,965894,0,965376,0,0,965894,0,0,0,239,0,239,0,239,0
140047,2013,6936,65931,0,65905,0,0,72867,0,0,0,60,0,60,0,60,0
156051,2013,79,109981,0,11981,38574,0,71486,0,40056,40056,23622,16434,0,15232,0,0
201322,2013,4369554,5514035,0,5179437,3835297,396560,5571949,0,14910359,15396507,14523276,873231,0,683455,0,175
201730,2013,2030887,4161657,0,1139404,1149454,0,4844173,0,11351768,11669020,12299508,0,630488,0,630488,66
210436,2013,111690,36066,0,22678,620281,0,-472525,0,717170,771796,1071277,0,299481,0,299481,25
253780,2013,4161,82756,0,16769,280222,0,-193305,0,107804,119180,79495,39685,0,36109,0,4
341415,2013,12346,24376,0,21359,250072,0,-213350,0,127530,127540,139300,0,11760,0,15400,2
359315,2013,7579823,943214,0,658095,7703518,0,819785,0,6441956,6546073,6479004,67069,0,55236,0,53
368356,2013,35659739,19453254,0,13970899,41413019,103327,13608153,0,42201112,45167978,48054314,0,2886336,0,2886336,230
370704,2013,515811,16060,0,7517,120094,0,411777,0,0,6327,40132,0,33805,0,33964,0
398284,2013,122190056,28971751,0,18717277,28487340,14719734,107813083,0,35222745,61564473,53041369,8523104,0,7038619,0,174
446616,2013,0,0,0,0,8252,0,-8252,0,0,0,18,0,18,0,18,0
482120,2013,40614430,11993859,0,878388,7476959,0,42042188,0,124237379,126196746,126483509,0,286763,0,286763,193
518704,2013,85059,129077,0,59779,191152,0,22984,0,590,1651,18113,0,16462,0,16473,0
520690,2013,975646,1207463,0,721505,812071,0,1418258,0,5806346,6243148,6201063,42085,0,34405,0,28
529584,2013,4503,42101,0,7219,240039,0,-193435,0,9661,9662,24031,0,14369,0,14643,0
558830,2013,42250,343942,0,390059,379476,0,6716,0,129820,130117,120544,9573,0,5739,0,2
563934,2013,968991,4105205,0,4057164,793733,0,4280463,0,9068405,9078347,8456839,621508,0,563064,0,179
607615,2013,4709742,1040331,0,365057,3575170,2742,1037995,0,1246372,2929990,2913978,16012,0,1102,0,8
608394,2013,2132636,1901833,0,324704,3408298,1352,624819,0,5188922,5790835,7237902,0,1447067,0,1447067,29
642388,2013,424090,930099,0,423492,1974360,0,-620171,0,0,574326,573649,677,0,136,0,3
643260,2013,4288478,1955661,0,1518562,994526,0,5277279,0,14047518,14158737,14253800,0,95063,0,95063,34
667145,2013,0,3723,0,0,4286647,0,-4282924,0,0,0,90,0,90,0,90,0
678268,2013,9145210,13585094,0,12972583,962766,0,21796420,0,17861688,17918555,17817144,101411,0,71662,0,35
678489,2013,0,11254,0,3565,82848,0,-71594,0,226239,227142,226523,619,0,520,0,3
686520,2013,1040549,313478,0,149607,1057093,0,296934,0,1468646,1614419,1601410,13009,0,10928,0,11
715862,2013,54319,40830,0,33246,42257,0,52892,0,49233,49233,66912,0,17679,0,19042,3
742131,2013,163547,1021064,0,349172,447897,0,741227,0,2297965,2332226,2234502,97724,0,79222,0,13
743196,2013,7532,18667,0,17280,20234,0,5969,0,784098,784283,773946,10337,0,8369,0,5
746540,2013,40528,65729,0,23434,116033,0,-9776,0,308578,308581,345304,0,36723,0,36723,4
776240,2013,0,8,0,0,7612,0,-7604,0,0,0,4290,0,4290,0,4290,0
784579,2013,200810,233305,0,0,31409,0,402706,0,412920,413122,391559,21563,0,17410,0,7
790309,2013,1750438,428143,0,252784,856332,0,1325475,0,1050911,1536548,1458237,78311,0,66718,0,20
790465,2013,164831,811993,0,190287,340827,0,640920,0,946226,1078109,730444,347665,0,292256,0,6
809096,2013,726745,960325,0,934464,1146255,0,542049,0,452846,467031,305028,162003,0,162003,0,4
830411,2013,1487962,1386753,0,212479,1331398,0,1548317,0,2692828,3099412,3089533,9879,0,4024,0,19
844646,2013,9664,56620,0,22205,303440,0,-237156,0,452592,452843,733270,0,280427,0,280427,7
858234,2013,995617,191075,0,103997,143133,0,1064359,0,1624166,1624215,1828772,0,204557,0,204557,8
916165,2013,324893,278256,0,66986,302991,0,300158,0,423913,424550,627271,0,202721,0,202721,11
921650,2013,3864043,2380456,0,2356918,191934,0,5943572,0,17821171,17880385,18712284,0,831899,0,831899,17
946778,2013,7429801,9966885,0,3565284,6737317,0,10659369,0,33590720,35354536,35302571,51965,0,40861,0,247
947943,2013,3805488,2454566,0,844209,563389,0,5687205,0,34968554,35020605,36074190,0,1053585,0,1053585,42
954592,2013,676938,216497,0,185207,422648,0,470787,0,644269,650924,468466,182458,0,153438,0,2
1056328,2013,357725,833002,0,718192,460819,0,729908,0,1123725,1123727,1075547,48180,0,40471,0,15
