cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
24898139,2020,2689415,2175503,156089,1652065,3059711,330867,218862,0,17793888,17939042,17560774,378268,0,240643,0,189
24904869,2020,488967,1487576,12170,1363453,2285227,0,-308684,0,2933358,2941299,2880599,60700,0,60700,0,55
24905260,2020,156247,264681,195195,43666,37140,0,383788,0,663117,672013,597598,74415,0,68400,0,3
24960273,2020,185787,529151,327831,196157,478457,0,236481,0,1228072,1237316,1208648,28668,0,16295,0,5
24991261,2020,21272,1486098,401216,1078934,1031942,0,475428,0,603564,489170,604652,0,115482,0,121518,4
25015074,2020,27480,220915,68377,12563,3536,0,244859,0,93879,305707,95871,209836,0,204481,0,1
25054154,2020,0,43595,1135,21196,30147,0,13448,0,27749,27749,39999,0,12250,0,13082,0
25061275,2020,0,815839,0,812653,13742,0,802097,0,900,25900,11219,14681,0,13980,0,0
25078714,2020,0,39495,1988,0,20000,0,19495,0,29635,29635,35276,0,5641,0,5937,0
25149459,2020,11179,232979,203370,7609,263868,0,-19710,0,216728,243746,210276,33470,0,31447,0,3
25152055,2020,2438594,928676,591748,254298,1866397,0,1457145,0,7692263,8034029,7696098,337931,0,289752,0,13
25184154,2020,9012,953899,66288,154391,563257,0,399702,0,1268904,1350414,967182,383232,0,370809,0,6
25258251,2020,405,53165,20650,1838,0,0,53570,0,0,0,50,0,50,0,50,0
25285957,2020,0,669084,9040,368157,298327,0,370757,0,1967129,1967155,1963670,3485,0,3485,0,33
25297099,2020,599,50678,3139,9084,21996,0,29281,0,32000,32000,2199,29801,0,28841,0,0
25302098,2020,0,24317,0,23692,442305,0,-417988,0,182872,559159,213666,345493,0,340148,0,5
25318680,2020,235322,512933,2048,232363,532917,0,225853,0,1089307,1099758,1029596,70162,0,59267,0,10
25328470,2020,3421522,1550315,51708,1181804,2403486,0,2584048,0,6204619,6304909,5808071,496838,0,431045,0,40
25345439,2020,475827,392487,920,283537,64327,0,803987,0,129240,129240,30177,99063,0,97771,0,1
25360960,2020,4495,187702,154307,32138,400007,0,-207810,0,548954,548954,506527,42427,0,36938,0,1
25371691,2020,80905,1235088,1141994,92018,3753390,0,-2437397,0,0,0,19681,0,19681,0,20021,0
25379075,2020,143935,281314,4206,100808,126657,0,298592,0,471239,476280,427848,48432,0,38607,0,1
25380070,2020,344345,1475962,76800,1330845,1078146,0,742161,0,2369456,2371796,1772785,599011,0,575526,0,24
25422337,2020,0,16388,4978,2023,66130,0,-49742,0,93392,93392,91359,2033,0,1099,0,1
25428615,2020,124360,1104156,20797,554886,386668,0,864348,0,2207272,2207324,2089969,117355,0,78837,0,19
25430666,2020,137847,1489825,31967,1374304,1673761,6951,-52688,0,2499437,2537170,2492684,44486,0,37368,0,33
25450728,2020,586784,1493797,475678,367233,1470674,0,609907,0,1408803,1838873,1397062,441811,0,427290,0,3
25462390,2020,0,180537,28021,4519,28406,0,152131,0,630717,630718,517094,113624,0,107782,0,2
25483237,2020,4318,53246,16649,35945,290111,0,-228505,0,0,0,37077,0,37077,0,37077,0
25493850,2020,10140,1751879,12281,1733565,2031459,0,-269440,0,1382193,1382194,1484906,0,102712,0,102712,16
25505416,2020,23,118401,43716,64469,27566,0,90858,0,248128,248129,188252,59877,0,57516,0,2
25507689,2020,0,324408,10258,296552,237740,0,86668,0,0,0,25380,0,25380,0,25380,0
25513010,2020,22444,182627,1804,151899,726819,0,-456646,0,1684274,1685936,1839495,0,153559,0,153559,19
25538677,2020,44339,38816,10714,15067,152429,0,-69274,0,148060,175652,171849,3803,0,1882,0,1
