cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2016,6134229,8110775,342547,2428188,7218957,812841,6228387,0,13427001,13504718,7214814,6289904,0,5279972,0,48
27987,2016,0,13636,0,13590,140993,0,-129878,0,0,0,0,0,0,0,0,0
67248,2016,100,3261044,0,3259044,944326,64000,2252818,0,0,0,0,0,0,0,0,0
75895,2016,8438,57005,0,76,2290,0,63153,0,122072,122072,82647,39425,0,35763,0,1
89017,2016,154567,185050,129105,11201,509142,0,-169525,0,181220,181242,198048,0,16806,0,18623,5
93573,2016,0,19157,10791,831,13770,0,5387,0,0,11768,15586,0,3818,0,5680,0
128760,2016,922517,2775259,567135,119116,266986,0,3442153,0,8352948,8428703,7771520,657183,0,561704,0,32
136720,2016,711543,2679134,2033078,257787,361497,0,3029180,0,8102803,8106537,7127903,978634,0,828988,0,16
139441,2016,0,965376,0,965376,0,0,965376,0,0,0,0,0,0,0,0,0
140047,2016,6936,65857,0,65857,0,0,72793,0,0,0,0,0,0,0,0,0
156051,2016,4436,114578,112953,78,2273,0,116741,0,38650,38650,28270,10380,0,9317,0,1
201322,2016,3182025,4555039,25836,2906356,1616701,293894,5749528,0,18087413,18563213,16933349,1629864,0,1471054,0,154
201730,2016,1560236,4345518,2916873,1037905,850135,0,5002239,0,5471890,6266376,5452543,813833,0,813833,0,35
210436,2016,129067,42415,22523,15153,663015,0,-491533,0,612540,612643,656901,0,44258,0,44258,13
253780,2016,0,5152,2051,2664,290154,0,-285002,0,49107,49131,78055,0,28924,0,30398,1
341415,2016,10628,212669,25882,69601,259252,0,-35955,0,1010979,1011455,805215,206240,0,197900,0,2
359315,2016,7562185,1464774,231004,841058,5651987,0,3374972,0,9298240,9300962,7149179,2151783,0,1846743,0,44
368356,2016,35939150,6181859,970730,4667613,38554251,0,3569858,0,34832437,36821420,43120552,0,6299132,0,6299132,153
370704,2016,499897,42798,0,13190,208383,0,334312,0,0,5663,40688,0,35025,0,35025,0
398284,2016,132475635,28430499,990399,20769664,26271754,4685832,130225015,0,44239481,60391220,50624679,9766541,0,9766541,0,190
482120,2016,34323197,9148793,2402440,6368239,2989061,0,38465099,0,34514741,35956131,35950626,5505,0,5505,0,130
518704,2016,63223,9964,0,8669,88969,0,-15782,0,11284,11284,22873,0,11589,0,11928,0
520690,2016,862671,848360,89850,645631,455189,0,1255842,0,1539986,1560501,1587567,0,27066,0,27066,16
529584,2016,1092,22358,16361,0,203821,0,-180371,0,54316,90317,68423,21894,0,20176,0,1
558830,2016,4724,88447,3612,114348,17686,0,75485,0,352146,352234,286568,65666,0,61167,0,2
563934,2016,804341,3631086,40846,1601153,912276,30820,3532488,0,1438315,1832044,1823061,8983,0,2688,0,42
607615,2016,3434809,808375,424930,383241,2243010,0,1581719,0,988032,1756519,1657485,99034,0,98342,0,10
