cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2019,6303934,13968516,265654,7692632,5579549,991330,13740899,0,13707147,14014375,9033143,4981232,0,4155649,0,40
27987,2019,0,13547,0,13501,140993,0,-129967,0,0,0,0,0,0,0,0,0
67248,2019,100,3259044,0,3259044,1003826,64000,2191318,0,0,0,0,0,0,0,0,0
89017,2019,113975,257708,94213,111590,357315,0,14368,0,324536,494572,326095,168477,0,163524,0,2
93573,2019,0,6367,0,0,12187,0,-5820,0,0,7220,18210,0,10990,0,11207,0
128760,2019,739535,2907043,766808,128193,254789,0,3396465,0,12059624,12193997,11612455,581542,0,488249,0,32
136720,2019,1211400,4150248,3597108,351304,283893,0,5077755,0,12393810,12399980,11511453,888527,0,723835,0,19
140047,2019,82577,46593,0,0,11010,0,118160,0,72667,91669,113748,0,22079,0,24829,0
156051,2019,43827,87212,83037,25,17793,0,113246,0,40851,40851,28229,12622,0,11397,0,0
201322,2019,8795177,7254812,24562,4450447,5042173,308500,10737180,0,31494355,32368301,27361370,5006931,0,3974657,0,164
201730,2019,1242631,4820614,2988513,1023302,566840,0,5486820,0,8609439,8936594,8599938,336656,0,266860,0,37
210436,2019,113335,161330,148112,4047,234981,0,39684,0,1174273,1174282,892676,281606,0,269863,0,10
253780,2019,0,16260,9742,5744,260156,0,-243896,0,155094,155094,78161,76933,0,74452,0,1
341415,2019,79216,160797,12634,144276,231482,0,8531,0,430076,430076,520906,0,90830,0,95130,1
359315,2019,6927318,1205020,443996,719695,4207293,0,3925045,0,6247330,6254955,5714455,540500,0,452046,0,49
368356,2019,33645841,3599219,604077,2886162,42736217,1584298,-7075455,0,681828,2039768,5214857,0,3175089,0,3175089,0
370704,2019,459074,25684,0,9838,290228,0,194530,0,0,2228,53836,0,51608,0,51608,0
398284,2019,113452897,68860703,4322900,49323474,52147602,11113429,120595135,0,117085735,122514312,116213889,6300423,0,5271624,0,264
482120,2019,68761289,10828530,3364367,6432310,2763937,0,75650081,0,33873091,34503948,35286239,0,782291,0,782291,103
520690,2019,677088,1054406,156220,809359,439010,0,1292484,0,2345263,2346448,2336265,10183,0,10183,0,13
529584,2019,4008,41144,16681,5958,169032,0,-123880,0,57051,57051,31333,25718,0,24006,0,0
558830,2019,132903,361065,30624,80663,203276,0,290692,0,368601,438421,339523,98898,0,94698,0,3
563934,2019,1505552,1543440,356641,618165,788159,30820,2403947,0,996792,1093748,1459943,0,366195,0,366195,24
607615,2019,466704,774413,2961,762593,19983,0,1221134,0,234943,2598895,3408229,0,809334,0,840703,5
608394,2019,1622548,809838,692427,48260,1980133,0,452253,0,3431836,3998108,3920450,77658,0,74035,0,29
642388,2019,6835,387943,269631,37683,2547770,0,-2152992,0,669053,701623,683167,18456,0,11864,0,7
643260,2019,3593824,5623434,841454,4688270,969368,0,8320321,0,15884354,15929972,15869120,60852,0,50870,0,39
678268,2019,6943500,19891547,1524762,18002389,546553,0,26313932,0,14836059,14845778,14372153,473625,0,390339,0,30
678489,2019,56329,124074,92043,26464,313845,0,-133442,0,279691,279722,284465,0,4743,0,7540,1
686520,2019,1588795,1085597,341840,741210,1485207,0,1189185,0,7838235,8135908,7923069,212839,0,178774,0,10
742131,2019,1475741,2048287,388790,290506,330479,0,3193549,0,2608040,2649539,2134097,515442,0,489197,0,11
743196,2019,4685,70191,7422,390,5856,0,69020,0,571389,577765,524588,53177,0,47399,0,2
746540,2019,52531,396062,229669,125564,639088,0,-190495,0,1342705,1343340,1267573,75767,0,62721,0,7
784579,2019,128841,304627,220615,9084,225385,0,208083,0,870047,870047,818120,51927,0,43226,0,0
790309,2019,1761609,1280524,300792,670431,-292175,0,3337078,0,1985733,2110711,1174893,935818,0,916911,0,13
790465,2019,1207373,1908009,416911,221311,725970,0,2390642,0,1492105,1790567,1362084,428483,0,410580,0,7
809096,2019,219236,49829,0,9756,325428,2000,-58363,0,-6350,51899,180240,0,128341,0,128341,0
