cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2014,6006258,9641013,45863,2166176,3395732,669887,11609148,0,11769731,11903748,6067868,5835880,0,4873221,0,43
27987,2014,0,13636,89,13501,140993,0,-129878,0,0,0,7205,0,7205,0,7205,0
67248,2014,100,3261044,0,3259044,944326,64000,2252818,0,0,0,0,0,0,0,0,0
75895,2014,8438,46384,0,76,2011,0,52811,0,69974,69974,76038,0,6064,0,8163,1
89017,2014,149467,117841,76785,11725,380405,0,-113097,0,149876,152214,180301,0,28087,0,32593,4
93573,2014,10230,18873,9179,831,18036,0,11067,0,0,0,0,0,0,0,0,0
128760,2014,1157514,2272372,1152039,153575,221117,0,3217370,0,11082046,11168294,10888781,279513,0,268148,0,31
136720,2014,998658,2334222,1829649,339279,321181,0,3011699,0,8593615,8661066,8320490,340576,0,294109,0,17
139441,2014,0,965376,0,965376,0,0,965376,0,0,0,518,0,518,0,518,0
140047,2014,6936,65871,0,65805,0,0,72807,0,0,0,60,0,60,0,60,0
156051,2014,0,99807,97166,0,2994,0,96813,0,50336,50336,23927,26409,0,24899,0,0
201322,2014,3933742,4593675,13755,3678964,4044038,497775,3907042,0,14252530,14402775,15428823,0,1026048,0,1239573,153
201730,2014,1801583,3872032,2800105,1241786,1013769,0,4509585,0,10444273,10654271,10633954,20317,0,20317,0,41
210436,2014,188171,76722,37256,25276,617480,0,-351158,0,653646,654887,575565,79322,0,79322,0,12
253780,2014,1781,44495,28957,14944,263384,0,-217108,0,82082,82127,103466,0,21339,0,23803,3
341415,2014,10289,28532,1174,25282,262076,0,-223255,0,64434,64438,72410,0,7972,0,9905,1
359315,2014,7073916,871821,507601,175519,6640780,0,1304957,0,6866148,6984521,6333114,651407,0,540408,0,56
368356,2014,33850073,11367373,2749600,8305959,39109257,54727,6053462,0,33682892,34047954,41994139,0,7946185,0,7946185,192
370704,2014,532181,39618,0,9488,165274,0,406525,0,0,3213,38285,0,35072,0,35072,0
398284,2014,127127420,41032899,2557629,30490141,43160278,6340692,118731850,0,39135928,51096044,39889875,11206169,0,9868328,0,181
446616,2014,0,0,0,0,8252,0,-8252,0,0,0,0,0,0,0,0,0
482120,2014,38290415,7757850,2480081,5046167,2800454,0,40582500,0,85571141,86144186,87603874,0,1459688,0,1459688,155
518704,2014,77509,130033,68680,59889,199694,0,7848,0,1200,1200,15817,0,14617,0,14653,0
520690,2014,920010,1234782,210624,685392,779804,0,1422208,0,4080783,4111372,4108805,2567,0,323,0,26
529584,2014,3366,40207,32868,5160,245357,0,-201784,0,20587,20673,28401,0,7728,0,8349,1
558830,2014,18075,316019,16642,359367,388736,0,-54642,0,207622,207638,262764,0,55126,0,61359,2
563934,2014,791222,4078551,64333,3248853,491776,0,4377997,0,8590397,8605716,7995492,610224,0,495775,0,154
607615,2014,4232864,881182,575019,304573,3239379,2742,1054490,0,1331851,2595847,2574550,21297,0,17517,0,11
608394,2014,1711559,2068387,1679501,369675,3233339,0,546607,0,3529031,3823678,3525873,297805,0,297805,0,29
642388,2014,424090,987230,560288,426934,2030923,0,-619603,0,0,2178067,2177392,675,0,567,0,3
643260,2014,4072240,2112507,747594,1310135,810278,0,5389940,0,12426732,12597692,12485031,112661,0,112661,0,32
678268,2014,8716265,13802925,507620,13022703,520269,0,22015993,0,14821759,15012982,14734174,278808,0,219574,0,33
678489,2014,0,14696,0,12813,92737,0,-78041,0,143883,143917,150364,0,6447,0,6447,1
686520,2014,1869451,281451,99980,167128,1165457,0,296007,0,1981071,2238340,2221374,16966,0,12403,0,14
715862,2014,40798,17403,5756,11285,16312,0,41889,0,51262,52081,61520,0,9439,0,11003,2
742131,2014,177381,1050556,324263,256047,325265,0,919945,0,2301888,2335253,2128128,207125,0,177398,0,16
743196,2014,7025,36923,11230,649,14757,0,29191,0,831950,831950,797671,34279,0,28722,0,3
746540,2014,86011,72353,32312,30871,241191,0,-82827,0,271953,280525,350890,0,70365,0,70365,4
784579,2014,15400,633158,193320,388442,35261,0,613297,0,489777,926797,600822,325975,0,270305,0,8
790309,2014,1795370,221103,46236,91358,718398,0,1301033,0,1004459,1239022,1224216,14806,0,8030,0,21
790465,2014,309624,961066,420901,213137,404438,0,878313,0,1429654,1694805,1414932,279873,0,237450,0,7
809096,2014,316948,947899,1200,929217,1065786,0,199813,0,181083,666427,551540,114887,0,114887,0,2
830411,2014,1335079,894619,751408,136037,920085,0,1309613,0,602631,615140,739833,0,124693,0,124693,3
844646,2014,19625,135747,99707,25120,334770,0,-179398,0,531486,531486,488187,43299,0,43299,0,6
858234,2014,824768,358364,122440,146435,244355,0,939577,0,1310553,1304996,1363206,0,58210,0,58210,8
916165,2014,664395,236141,213448,10643,517164,0,383372,0,838900,848629,765415,83214,0,83214,0,9
946778,2014,8297004,9661490,4194486,3650151,7540648,0,10417846,0,33121208,34487968,34325257,162711,0,137976,0,241
947943,2014,3392413,2187553,1373011,715292,514669,0,5048391,0,37115727,37246819,37885633,0,638814,0,638814,43
954592,2014,496566,124029,1785,104974,252533,0,368062,0,257888,251673,300397,0,48724,0,48724,2
1056328,2014,242393,856243,150521,554791,348905,0,749731,0,1399905,1399905,1360063,39842,0,33466,0,7
1059693,2014,455185,11253049,0,11228873,12777138,0,-1068904,0,11051,33475,1147751,0,1114276,0,1114276,0
1062907,2014,0,59421,0,55628,74461,0,-26410,0,0,0,0,0,0,0,0,0
1074553,2014,116825,1119418,11090,241349,240358,100000,895885,0,1344586,1365791,1315206,50585,0,42897,0,28
1076163,2014,1455479,302864,23374,243438,679465,0,1083093,0,1330967,1343537,1349023,0,5486,0,5486,30
1088125,2014,38781964,30850489,18263792,6132180,11850257,0,57980718,0,214431937,216525760,215936509,589251,0,589251,0,196
1095130,2014,24638538,14822385,841705,12482424,10719111,490062,28489485,0,47303919,48253558,42529244,5724314,0,4849380,0,506
1098285,2014,732239,505591,487010,10772,354265,0,883565,0,140270,468451,337006,131445,0,101194,0,3
1100466,2014,4233039,11947312,147883,11527940,6945115,0,9004459,0,8933817,9523738,8751857,771881,0,649046,0,64
1152830,2014,251368,43179,16083,11188,88400,0,206147,0,11160,59160,56974,2186,0,205,0,1
1155810,2014,101916,647937,365354,187277,842948,0,-93095,0,938408,1003927,988681,15246,0,15246,0,10
1198470,2014,142118,2808837,2755516,24725,1641993,0,1308962,0,1849348,1871430,1705959,165471,0,141619,0,17
1206832,2014,1373877,642946,75973,458843,560304,0,1460517,0,2544470,2574952,2613668,0,38716,0,48288,20
1216658,2014,5460483,864518,365188,461500,423944,0,5918689,0,15717416,15729055,16324187,0,595132,0,595132,25
1217564,2014,0,6534,1134,954,114489,0,-107955,0,66379,66379,34513,31866,0,29874,0,0
1279273,2014,174132,634433,73910,496290,542313,0,259642,0,935239,959098,957043,2055,0,1512,0,4
1284954,2014,135475,27275,3516,17422,122349,0,40401,0,16082,16969,14266,2703,0,2194,0,0
1289994,2014,1354001,1351472,723543,294279,798804,0,1906878,0,108858,112197,68916,43281,0,40009,0,0
1326707,2014,31303,343094,336853,5309,484774,0,-110377,0,208486,210368,125439,84929,0,78665,0,4
1351883,2014,895769,1004515,39077,307014,342797,0,1449370,0,2270518,2323786,2395957,0,72171,0,72171,6
