cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2023,6546763,10519544,1683719,2669029,7471535,193908,9428658,0,22399628,22584469,15457569,7126900,0,6103697,0,34
27987,2023,0,13547,0,13501,140993,0,-129967,0,0,0,0,0,0,0,0,0
89017,2023,294725,426826,218824,70461,540251,0,181300,0,929145,929147,901443,27704,0,21259,0,2
128760,2023,510987,2288640,635356,193520,275892,0,2537067,0,12194232,12289900,12017573,272327,0,232862,0,31
136720,2023,1560809,6951441,6043172,530384,253796,0,8258454,0,15661639,15800415,14282003,1518412,0,1281185,0,15
140047,2023,194578,207191,116091,47199,338628,0,63141,0,31967,31967,34506,0,2539,0,2837,1
156051,2023,97081,51819,29399,0,3258,0,145642,0,62495,62495,32184,30311,0,25512,0,0
201322,2023,20378631,11068767,7638547,586395,8708913,11945,22731074,0,11538428,20097465,20940572,0,843107,0,852826,7
201730,2023,880686,6540955,3704739,879726,1102462,0,6319179,0,7106283,7201058,7180795,20263,0,6994,0,33
210436,2023,94737,849275,700041,101338,77057,0,869607,0,2151476,2151476,1863827,287649,0,269772,0,9
253780,2023,0,10662,0,9245,292119,0,-281457,0,20445,30148,31845,0,1697,0,1697,0
359315,2023,5299426,704635,237865,423056,2406844,0,3597217,0,3497801,3500602,4159283,0,658681,0,658681,29
370704,2023,403564,20349,0,14450,472774,0,-48861,0,0,6642,98697,0,92055,0,92055,0
398284,2023,114654897,82844496,818691,67497955,33315048,22348076,142683182,0,106757648,118254874,101027588,17227286,0,16650451,0,245
482120,2023,83302215,7017247,3002456,3779304,12048488,0,77785932,0,22375781,22755952,22554260,201692,0,158204,0,27
520690,2023,518525,1801634,149088,641000,365194,0,1954965,0,4784993,4865247,4829293,35954,0,28448,0,12
529584,2023,35479,137927,14942,38533,139946,0,33460,0,252009,252009,157780,94229,0,80688,0,0
558830,2023,451376,773955,11233,119001,459294,0,766037,0,1481880,1618142,1002689,615453,0,601148,0,5
563934,2023,1794913,2527449,81158,1996171,3599395,0,1326898,0,11477713,11581593,11901585,0,319992,0,319992,78
608394,2023,929847,1059157,639452,50646,56398,0,1934198,0,3625905,4608863,4437413,171450,0,145022,0,9
642388,2023,367433,2254803,1056220,1189798,3512674,0,-890438,0,1498878,1499354,1173543,325811,0,310822,0,5
643260,2023,5966478,7745453,1848567,5666888,2005226,0,11762389,0,19380006,19363973,20259382,0,895409,0,895409,40
678268,2023,8690335,23538498,2020504,20452254,1049911,0,31201098,0,15117568,15127017,15064657,62360,0,36187,0,28
678489,2023,51824,237694,126544,84233,420503,0,-130985,0,432591,433029,455823,0,22794,0,27142,1
686520,2023,1235687,4382699,403145,3743232,1983403,0,3634983,0,12880968,14319442,14104715,214727,0,181977,0,6
742131,2023,2661642,3204880,664139,581829,343760,0,5522762,0,3176928,3290753,3023967,266786,0,244208,0,10
743196,2023,2813,113542,7603,1045,1747,0,114608,0,491125,491125,355668,135457,0,114217,0,1
746540,2023,10345,513930,213373,109280,345655,0,178620,0,1704607,1713568,1520772,192796,0,178236,0,7
784579,2023,0,1993,0,176,28232,0,-26239,0,0,0,17830,0,17830,0,17830,0
790309,2023,2115112,2728888,889404,1142957,4033572,0,814600,0,2085579,2932333,2550797,381536,0,366338,0,11
790465,2023,935647,3998096,3391348,329387,230900,0,4702951,0,2200548,2345082,1294357,1050725,0,1027351,0,6
809096,2023,217440,25752,0,15256,20516,2000,220676,0,0,0,3104,0,3104,0,3104,0
830411,2023,1155795,642761,171358,412439,524610,0,1273946,0,1730280,1762467,1650284,112183,0,94715,0,8
844646,2023,1074712,2600175,1484926,1015682,184347,0,3490540,0,22682523,22884351,21232096,1652255,0,1458894,0,11
858234,2023,949950,350572,198669,95436,131820,0,1168702,0,846983,847068,980676,0,133608,0,141288,4
916165,2023,297253,875605,836217,14568,366356,0,806502,0,517509,658555,650734,7821,0,1235,0,3
946778,2023,37224884,40089086,4434661,34993899,31734421,0,45579549,0,121817854,122059627,113370790,8688837,0,7738160,0,663
954592,2023,56784,256592,0,30896,43153,0,274163,0,227540,228296,220679,7617,0,5334,0,1
1074553,2023,1839070,2777562,79209,2126000,3828774,100000,697630,0,5429783,5618023,5733777,0,115754,0,129052,35
1076163,2023,1082004,1398786,462843,530937,454811,0,2025979,0,3214605,3291435,3203950,87485,0,61883,0,8
1088125,2023,62075898,92547237,52827747,33152185,89802206,711214,64707644,0,372696630,377178540,385207716,0,8029176,0,8029176,292
1095130,2023,47909564,31047380,4007904,23129387,34802815,4030,44695340,0,140019916,140923562,125223297,15700265,0,13734885,0,627
1100466,2023,3018091,3656838,185958,2811956,1228844,0,5446085,0,11301102,11624085,9663540,1960545,0,1697572,0,47
1155810,2023,589263,2252606,431047,181994,754672,0,2087197,0,3323887,3687757,3036165,651592,0,594010,0,10
1198470,2023,145149,1917128,1282760,5694,54679,0,2010259,0,1382036,1418841,1047161,371680,0,359680,0,5
1206832,2023,909841,1553296,116455,687754,1042763,0,1431683,0,4821350,4870518,4901401,0,30883,0,49070,22
1217564,2023,0,7556,0,7669,38674,0,-31118,0,0,0,0,0,0,0,0,0
1279273,2023,11468,503350,126616,317313,7757,0,507061,0,1016364,1016364,1129190,0,112826,0,122379,1
1284954,2023,103038,33057,5265,5820,86850,0,49245,0,24000,24000,25291,0,1291,0,1291,0
1326707,2023,107231,472203,428239,17556,9949,0,569485,0,240384,240397,163636,76761,0,74357,0,2
1351883,2023,334109,1450147,314399,921959,550844,0,1237514,0,2383553,2390635,2417811,0,27176,0,27262,3
1354685,2023,579600,35818,14985,15543,244398,0,375082,0,393289,398066,439450,0,41384,0,45364,6
