cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2024,7392725,8952933,1324356,2845566,4056190,239432,12109043,0,19701875,19853343,13215905,6637438,0,5680385,0,39
89017,2024,267553,329640,79121,78897,546742,0,50451,0,1218629,1218630,1136246,82384,0,47659,0,2
128760,2024,460258,1914605,994400,121761,265438,0,2126842,0,12436152,12493022,12318877,174145,0,146637,0,31
136720,2024,1192271,7055943,6440863,298647,400649,0,7847565,0,15549241,15571493,14285466,1286027,0,1089111,0,17
140047,2024,192615,201268,116091,52198,339408,0,54475,0,14923,52402,61068,0,8666,0,8666,1
156051,2024,97081,92256,28371,20500,8159,0,181178,0,62816,62816,20766,42050,0,35535,0,0
201322,2024,19216010,8513672,206132,8175260,7378225,0,20353144,0,1924886,2790719,2111465,679254,0,622070,0,4
201730,2024,817072,6569404,4340607,386919,1049239,0,6337237,0,7819931,8088389,8051227,37162,0,18058,0,35
210436,2024,148532,796641,750035,24106,79826,0,868106,0,1704656,1706348,1662801,43547,0,0,1500,10
253780,2024,0,11411,0,9245,303783,0,-292372,0,23183,23183,34103,0,10920,0,10920,0
359315,2024,4801184,660943,159228,481733,2073547,0,3388580,0,3543735,3564745,3520633,44112,0,36480,0,19
398284,2024,114022402,94752054,576428,58353981,36177260,28217673,146147041,0,133202971,146746730,122679049,24067681,0,22077561,0,294
482120,2024,136056300,19976300,11477829,7119729,77905074,0,78047598,0,130176265,135882334,133958001,1924333,0,1761666,0,39
520690,2024,387581,3299136,259802,570366,494180,0,3192537,0,5673820,7002085,5555367,1446718,0,1237572,0,11
529584,2024,123187,86837,13697,24267,42634,0,167390,0,251986,320946,167372,153574,0,133930,0,0
558830,2024,487469,756198,13448,165776,424361,0,819306,0,1155799,1216151,917898,298253,0,271405,0,4
563934,2024,2391850,3549663,63190,3333758,4492346,84850,1425703,0,14918005,15028332,14916979,111353,0,98805,0,79
608394,2024,726789,1150922,709580,10546,100903,0,1815543,0,3363291,3899287,3895357,3930,0,3345,0,14
642388,2024,273679,2284004,533526,1705908,3446714,0,-889031,0,807852,1040190,1027756,12434,0,1407,0,2
643260,2024,5972435,7657741,1306205,6165892,1786297,0,11918623,0,20001050,20098708,19930798,167910,0,156234,0,36
678268,2024,8386623,23497022,1593585,21618163,945953,0,30973116,0,18233677,18246540,18474523,0,227983,0,227983,29
678489,2024,51709,270713,160820,83033,458711,0,-136289,0,521754,521788,514405,7383,0,0,4053,1
686520,2024,985607,4942285,842190,3859977,2206855,0,3721037,0,14621050,14629329,14524691,104638,0,86054,0,5
742131,2024,2901096,2965207,723332,612017,248375,0,5617928,0,3041386,3132040,3017294,114746,0,92542,0,7
743196,2024,2344,62287,8689,1131,12241,0,52390,0,261524,261524,199855,61669,0,51999,0,1
746540,2024,12085,467631,187800,246685,308688,0,171028,0,2676784,2677601,2466811,210790,0,170808,0,7
784579,2024,0,2465,0,2114,38909,0,-36444,0,0,0,10205,0,10205,0,10205,0
790309,2024,2552052,2670834,1461947,1091497,4217862,0,1013244,0,2764113,3157279,2926609,230670,0,198644,0,9
790465,2024,1002479,7540363,4836750,1506321,2291886,0,6256011,0,5042390,5065160,3371505,1693655,0,1553060,0,6
809096,2024,217440,44951,0,22283,187,2000,260204,0,0,84054,44525,39529,0,39529,0,0
830411,2024,1591150,414228,170823,180392,936655,0,1068723,0,1331893,1363643,1284890,78753,0,66977,0,2
844646,2024,1342981,3401651,2238489,833979,295365,0,4449267,0,27581304,27716550,25922299,1794251,0,1577201,0,13
858234,2024,922960,368179,85237,2422,71331,0,1219808,0,1152685,1152685,1091459,61226,0,51106,0,5
916165,2024,219858,798394,788854,4559,246542,0,771710,0,732524,853377,844982,8395,0,906,0,4
946778,2024,30674809,46398334,3337282,40816360,22239768,0,54826875,0,121239204,121452620,105708323,15744297,0,14019580,0,640
954592,2024,19680,192052,0,13812,10310,0,205447,0,36180,36180,99599,0,63419,0,63419,0
1076163,2024,1170906,1243267,135599,598397,465736,0,1948437,0,3574031,3578384,3689413,0,111029,0,111029,7
