cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2015,5963625,11355233,117457,2291507,1275425,701374,15353242,0,12048577,12498745,6470926,6027819,0,5035647,0,48
27987,2015,0,13636,0,13590,140993,0,-129878,0,0,0,0,0,0,0,0,0
67248,2015,100,3261044,0,3259044,944326,64000,2252818,0,0,0,0,0,0,0,0,0
75895,2015,8438,41879,23,76,2927,0,47390,0,100949,100949,103340,0,2391,0,5420,1
89017,2015,159667,109767,91999,10025,420336,0,-150902,0,119453,119518,153736,0,34218,0,37804,7
93573,2015,10230,18873,9179,831,18036,0,11067,0,0,0,0,0,0,0,0,0
128760,2015,1039955,2034655,1718245,110180,202443,0,2880449,0,7517285,7624595,7693369,0,68774,0,68774,32
136720,2015,844783,3067530,2257845,104989,212121,0,3700192,0,6857413,7342008,6588198,753810,0,688493,0,15
139441,2015,0,965376,0,965376,0,0,965376,0,0,0,0,0,0,0,0,0
140047,2015,6936,65858,0,65805,0,0,72794,0,0,0,13,0,13,0,13,0
156051,2015,4436,107059,99593,110,4071,0,107424,0,47620,48924,37490,11434,0,10611,0,0
201322,2015,3949586,4422367,30580,3472932,3569266,491695,4278475,0,17945741,18253951,17674709,579242,0,371432,0,150
201730,2015,1618501,3573185,2760008,1055706,901013,0,4188406,0,6605523,6621411,6938028,0,316617,0,316617,36
210436,2015,166859,57677,38347,19235,671812,0,-447276,0,557045,557045,653163,0,96118,0,96118,0
253780,2015,137,15678,12313,2249,270419,0,-254604,0,68619,68700,104135,0,35435,0,37496,1
341415,2015,8231,37610,1757,35090,279696,0,-233855,0,68732,68789,77324,0,8535,0,10600,1
359315,2015,6727497,1117559,256657,212732,5822104,0,2022952,0,7678073,7749861,6913577,836284,0,717796,0,49
368356,2015,38187012,8544577,1408137,5391569,39641578,54727,7045284,0,36908064,39857458,45117505,0,5260047,0,5260047,166
370704,2015,516039,24485,0,11498,171187,0,369337,0,0,5461,42650,0,37189,0,37189,0
398284,2015,102495743,57965217,1733526,51921086,32534516,5680552,122958473,0,53980132,82799248,76109733,6689515,0,4226622,0,174
446616,2015,0,0,0,0,8252,0,-8252,0,0,0,0,0,0,0,0,0
482120,2015,36172335,6702889,2008017,4491766,2218721,0,38459593,0,27896713,28160293,30283200,0,2122907,0,2122907,122
518704,2015,70366,123263,61107,59966,197483,0,-3854,0,1200,1200,12866,0,11666,0,11702,0
520690,2015,940654,890875,73782,628973,548620,0,1282909,0,2791007,2885434,3051474,0,166040,0,166040,22
529584,2015,2229,35236,27017,322,238013,0,-200548,0,35070,35070,32781,2289,0,1236,0,1
558830,2015,3232,23470,15686,64459,12123,0,14579,0,191564,192214,237471,0,45257,0,51024,2
563934,2015,1307324,3580035,55798,2229363,499539,61541,4326279,0,4627370,4684320,4666421,17899,0,9822,0,116
607615,2015,3793674,857984,440073,406697,2509158,0,1549635,0,1256180,2181155,2082785,98370,0,94768,0,12
608394,2015,1211014,2125651,1523790,517278,3099550,0,237115,0,2807314,3529884,3008441,521443,0,513728,0,28
642388,2015,424090,1048126,615288,430242,2088812,0,-616596,0,3900,58900,55775,3125,0,3008,0,2
643260,2015,4130773,2288186,369375,1767022,1047983,0,5392697,0,10484909,10577861,10575103,2758,0,2758,0,31
678268,2015,8097073,14560436,276139,13845550,494113,0,22182954,0,9916241,10276151,10054290,221861,0,166960,0,31
678489,2015,967,9935,0,9377,94674,0,-83772,0,6590,6591,12322,0,5731,0,5731,1
686520,2015,1717781,403348,234436,136122,1189682,0,299007,0,1412639,1867790,1863654,4136,0,3000,0,14
715862,2015,40798,7944,0,7894,11067,0,37675,0,11863,11863,15722,0,3859,0,4214,0
742131,2015,264778,1087570,235956,305440,332528,0,1050175,0,2120050,2155063,1924853,230210,0,198910,0,14
743196,2015,6557,39231,2249,831,18123,0,27665,0,654145,654145,621548,32597,0,27274,0,3
746540,2015,82632,112593,27975,56940,358485,0,-163260,0,353705,351717,432150,0,80433,0,80433,5
784579,2015,3259,648840,207750,269209,37967,0,614132,0,705784,705784,547458,158326,0,132834,0,8
790309,2015,1855948,310735,73040,154060,853746,0,1316763,0,922650,1146988,1127305,19683,0,15730,0,18
790465,2015,279872,920600,650964,216237,296815,0,908355,0,1341253,1621616,1583540,38076,0,30042,0,4
809096,2015,317967,312688,1029,293768,482511,2000,146144,0,399895,400128,465797,0,65669,0,65669,4
830411,2015,1146952,894856,741399,31658,82655,0,1959153,0,1993849,2055232,877940,1177292,0,999540,0,9
844646,2015,24911,74473,23926,18521,345281,0,-245897,0,800120,809076,804284,4792,0,4792,0,7
858234,2015,930877,199521,89307,86729,191794,0,919243,0,696222,704816,819531,0,114715,0,114715,2
916165,2015,447180,363361,260165,74465,258234,0,552307,0,1243405,1258223,1071919,186304,0,168935,0,9
921650,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946778,2015,6537621,10110427,3478470,3639052,5763382,0,10884666,0,31960133,32656782,31974711,682071,0,654319,0,215
947943,2015,3034477,2405314,1105152,1182366,446751,39575,4940874,0,39298698,39380068,39487584,0,107516,0,107516,45
954592,2015,315599,87048,1275,82401,164754,0,237893,0,68581,68087,196198,0,128111,0,130169,1
1056328,2015,232585,1188632,1607,364818,454105,0,967112,0,1899512,1916044,1651792,264252,0,219278,0,6
1059693,2015,455185,11716110,0,11705574,13446727,0,-1275432,0,0,16,206544,0,206528,0,206528,0
1062907,2015,0,59420,0,55627,74461,0,-26411,0,0,0,0,0,0,0,0,0
1074553,2015,160616,1187214,6882,248433,284904,100000,975164,0,1618489,1641530,1495601,145929,0,122176,0,28
1076163,2015,1451388,418300,54220,328203,725815,0,1145786,0,1649061,1663509,1660088,3421,0,3421,0,0
1088125,2015,39068832,29199056,18680736,5585129,11716833,131648,56710165,0,187483011,188230253,189500806,0,1270553,0,1270553,209
1095130,2015,24054671,20046177,1208321,9508072,16499677,388657,27457831,0,50993566,51516642,47262771,4253871,0,3531510,0,542
1098285,2015,482025,521847,498760,5407,422928,0,580944,0,136284,152961,455583,0,302622,0,302622,3
1100466,2015,4396541,10851437,183142,10591470,5969367,0,9131102,0,7863791,8031873,7862790,169083,0,126644,0,72
1152830,2015,246008,50772,16085,17694,40199,0,256581,0,2547,114948,61067,53881,0,50433,0,1
