cif,an,active_imobilizante_total,active_circulante_total,stocuri,creante,datorii,provizioane,capitaluri_total,patrimoniul_regiei,cifra_de_afaceri_neta,venituri_totale,cheltuieli_totate,profit_brut,pierdere_brut,profit_net,pierdere_net,salariati
27820,2022,6991069,5072861,1095175,1799489,8577610,161579,3324961,0,10293771,10368515,7630146,2738369,0,2376546,0,26
27987,2022,0,13547,0,13501,140993,0,-129967,0,0,0,0,0,0,0,0,0
75895,2022,11438,686,0,299,-147,0,12271,0,0,0,467,0,467,0,467,0
89017,2022,254114,471549,204820,89494,559888,0,165775,0,1264487,1264487,1189367,75120,0,66411,0,2
93573,2022,0,7,0,0,5827,0,-5820,0,0,0,0,0,0,0,0,0
128760,2022,560659,2566090,1058796,448417,244695,0,2894735,0,14096142,14254675,13191280,1063395,0,916904,0,34
136720,2022,1435324,8476836,5753054,469625,2934891,0,6977269,0,22958191,22959191,19790656,3168535,0,2712041,0,19
140047,2022,197490,205510,116091,73003,337022,0,65978,0,20698,20698,19944,754,0,246,0,1
156051,2022,97025,46762,44398,1585,23657,0,120130,0,57363,57363,53730,3633,0,2032,0,0
201322,2022,45592309,17014880,491243,10303622,32393501,434590,29968901,0,50664068,52284404,41942912,10341492,0,8783738,0,135
201730,2022,769262,7380282,3107441,940725,1554459,0,6595085,0,9116865,9292709,8635607,657102,0,564742,0,33
210436,2022,110322,672601,581348,54098,183171,0,599835,0,1844585,1846332,1680337,165995,0,148744,0,8
253780,2022,0,12496,1345,10430,292252,0,-279756,0,36968,36968,42524,0,5556,0,6635,0
359315,2022,5804467,708216,175600,504186,2218740,0,4293943,0,5520649,5525107,5661112,0,136005,0,136005,42
370704,2022,417441,37523,0,13323,411771,0,43193,0,0,10242,59466,0,49224,0,49224,0
398284,2022,112124914,78527640,3061075,51706694,35758890,30283414,126032732,0,118416564,125226595,113681062,11545533,0,9385600,0,267
482120,2022,69577370,15635668,1186330,14099597,5946287,0,78627728,0,20582056,23478891,21096524,2382367,0,2273807,0,29
520690,2022,556458,1738179,130814,651153,368120,0,1926517,0,6607906,6667071,6415874,251197,0,217031,0,11
529584,2022,40825,32887,17132,13043,120940,0,-47228,0,56058,56058,49391,6667,0,4985,0,0
558830,2022,286587,561821,37149,144716,283519,0,564889,0,741964,742680,501665,241015,0,234702,0,5
563934,2022,2066622,1736985,97466,1548593,2497548,0,1646890,0,10179884,10297268,10401289,0,104021,0,104021,78
